"","eukprok","mag","Domain","Clade","Kingdom","Supergroup","Phylum","Class","Order","Family","Genus","Species","community","degree","MAG","classification"
"117","euk","Cluster_18","Eukaryota","Opisthokonta","Metazoa","Metazoa","Arthropoda","Insecta","-","-",".","-",1,33,"SPO-CHIL-DCM-20-180-00_bin-3","Eukaryota;Opisthokonta;Metazoa;Metazoa;Arthropoda;Insecta;-;-;.;-"
"118","euk","Cluster_14","Eukaryota","Sar",".","Stramenopiles","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros cf. neogracilis",2,36,"SPO-CHIL-SRF-180-2000-00_bin-2","Eukaryota;Sar;.;Stramenopiles;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros cf. neogracilis"
"119","euk","Cluster_14","Eukaryota","Sar",".","Stramenopiles","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros cf. neogracilis",2,36,"SPO-all-SRF-180-2000-00_bin-279","Eukaryota;Sar;.;Stramenopiles;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros cf. neogracilis"
"120","euk","Cluster_64","Eukaryota",".","Viridiplantae","Archaeplastida","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas pusilla",7,37,"SAO-all-DCM-0-8-5-00_bin-320","Eukaryota;.;Viridiplantae;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla"
"121","euk","Cluster_167","Eukaryota","Opisthokonta","Metazoa","Metazoa","Arthropoda","Insecta","-","-",".","-",1,40,"IO-all-SRF-5-20-00_bin-71","Eukaryota;Opisthokonta;Metazoa;Metazoa;Arthropoda;Insecta;-;-;.;-"
"122","euk","Cluster_10","Eukaryota","Opisthokonta","Metazoa","Metazoa","Arthropoda","Hexanauplia","Calanoida","Temoridae","Eurytemora","Eurytemora affinis",1,22,"MS-all-DCM-5-20-00_bin-19","Eukaryota;Opisthokonta;Metazoa;Metazoa;Arthropoda;Hexanauplia;Calanoida;Temoridae;Eurytemora;Eurytemora affinis"
"123","euk","Cluster_10","Eukaryota","Opisthokonta","Metazoa","Metazoa","Arthropoda","Hexanauplia","Calanoida","Temoridae","Eurytemora","Eurytemora affinis",1,22,"NAO-all-SRF-5-20-00_bin-3","Eukaryota;Opisthokonta;Metazoa;Metazoa;Arthropoda;Hexanauplia;Calanoida;Temoridae;Eurytemora;Eurytemora affinis"
"124","euk","Cluster_10","Eukaryota","Opisthokonta","Metazoa","Metazoa","Arthropoda","Hexanauplia","Calanoida","Temoridae","Eurytemora","Eurytemora affinis",1,22,"NAO-all-DCM-20-180-00_bin-25","Eukaryota;Opisthokonta;Metazoa;Metazoa;Arthropoda;Hexanauplia;Calanoida;Temoridae;Eurytemora;Eurytemora affinis"
"125","euk","Cluster_10","Eukaryota","Opisthokonta","Metazoa","Metazoa","Arthropoda","Hexanauplia","Calanoida","Temoridae","Eurytemora","Eurytemora affinis",1,22,"MS-all-DCM-20-180-00_bin-72","Eukaryota;Opisthokonta;Metazoa;Metazoa;Arthropoda;Hexanauplia;Calanoida;Temoridae;Eurytemora;Eurytemora affinis"
"126","euk","Cluster_10","Eukaryota","Opisthokonta","Metazoa","Metazoa","Arthropoda","Hexanauplia","Calanoida","Temoridae","Eurytemora","Eurytemora affinis",1,22,"SPO-SPSG-SRF-20-180-00_bin-113","Eukaryota;Opisthokonta;Metazoa;Metazoa;Arthropoda;Hexanauplia;Calanoida;Temoridae;Eurytemora;Eurytemora affinis"
"127","euk","Cluster_10","Eukaryota","Opisthokonta","Metazoa","Metazoa","Arthropoda","Hexanauplia","Calanoida","Temoridae","Eurytemora","Eurytemora affinis",1,22,"NAO-all-SRF-20-180-00_bin-19","Eukaryota;Opisthokonta;Metazoa;Metazoa;Arthropoda;Hexanauplia;Calanoida;Temoridae;Eurytemora;Eurytemora affinis"
"128","euk","Cluster_10","Eukaryota","Opisthokonta","Metazoa","Metazoa","Arthropoda","Hexanauplia","Calanoida","Temoridae","Eurytemora","Eurytemora affinis",1,22,"NAO-all-MIX-20-180-00_bin-35","Eukaryota;Opisthokonta;Metazoa;Metazoa;Arthropoda;Hexanauplia;Calanoida;Temoridae;Eurytemora;Eurytemora affinis"
"129","euk","Cluster_10","Eukaryota","Opisthokonta","Metazoa","Metazoa","Arthropoda","Hexanauplia","Calanoida","Temoridae","Eurytemora","Eurytemora affinis",1,22,"SPO-all-SRF-20-180-00_bin-202","Eukaryota;Opisthokonta;Metazoa;Metazoa;Arthropoda;Hexanauplia;Calanoida;Temoridae;Eurytemora;Eurytemora affinis"
"130","euk","Cluster_10","Eukaryota","Opisthokonta","Metazoa","Metazoa","Arthropoda","Hexanauplia","Calanoida","Temoridae","Eurytemora","Eurytemora affinis",1,22,"MS-all-SRF-5-20-00_bin-96","Eukaryota;Opisthokonta;Metazoa;Metazoa;Arthropoda;Hexanauplia;Calanoida;Temoridae;Eurytemora;Eurytemora affinis"
"131","euk","Cluster_10","Eukaryota","Opisthokonta","Metazoa","Metazoa","Arthropoda","Hexanauplia","Calanoida","Temoridae","Eurytemora","Eurytemora affinis",1,22,"SPO-SPSG-DCM-20-180-00_bin-1","Eukaryota;Opisthokonta;Metazoa;Metazoa;Arthropoda;Hexanauplia;Calanoida;Temoridae;Eurytemora;Eurytemora affinis"
"132","euk","Cluster_10","Eukaryota","Opisthokonta","Metazoa","Metazoa","Arthropoda","Hexanauplia","Calanoida","Temoridae","Eurytemora","Eurytemora affinis",1,22,"MS-all-SRF-20-180-00_bin-44","Eukaryota;Opisthokonta;Metazoa;Metazoa;Arthropoda;Hexanauplia;Calanoida;Temoridae;Eurytemora;Eurytemora affinis"
"133","euk","Cluster_65","Eukaryota","Sar",".","-","-","-","-","-",".","-",7,48,"IO-all-SRF-0-8-5-00_bin-348","Eukaryota;Sar;.;-;-;-;-;-;.;-"
"134","euk","Cluster_65","Eukaryota","Sar",".","-","-","-","-","-",".","-",7,48,"IO-all-DCM-0-8-5-00_bin-21","Eukaryota;Sar;.;-;-;-;-;-;.;-"
"135","euk","Cluster_65","Eukaryota","Sar",".","-","-","-","-","-",".","-",7,48,"SPO-SPSG-SRF-0-8-5-00_bin-104","Eukaryota;Sar;.;-;-;-;-;-;.;-"
"136","euk","Cluster_65","Eukaryota","Sar",".","-","-","-","-","-",".","-",7,48,"SPO-all-SRF-0-8-5-00_bin-460","Eukaryota;Sar;.;-;-;-;-;-;.;-"
"137","euk","Cluster_65","Eukaryota","Sar",".","-","-","-","-","-",".","-",7,48,"NPO-all-SRF-0-8-5-00_bin-249","Eukaryota;Sar;.;-;-;-;-;-;.;-"
"138","euk","Cluster_141","Eukaryota","Prymnesiophyceae",".","Hacrobia","Haptista","Haptophyta","Prymnesiales","Chrysochromulinaceae","Chrysochromulina","Chrysochromulina rotalis",7,43,"IO-all-SRF-0-8-5-00_bin-579","Eukaryota;Prymnesiophyceae;.;Hacrobia;Haptista;Haptophyta;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina rotalis"
"139","euk","Cluster_141","Eukaryota","Prymnesiophyceae",".","Hacrobia","Haptista","Haptophyta","Prymnesiales","Chrysochromulinaceae","Chrysochromulina","Chrysochromulina rotalis",7,43,"IO-all-DCM-0-8-5-00_bin-12","Eukaryota;Prymnesiophyceae;.;Hacrobia;Haptista;Haptophyta;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina rotalis"
"140","euk","Cluster_141","Eukaryota","Prymnesiophyceae",".","Hacrobia","Haptista","Haptophyta","Prymnesiales","Chrysochromulinaceae","Chrysochromulina","Chrysochromulina rotalis",7,43,"NPO-all-SRF-0-8-5-00_bin-490","Eukaryota;Prymnesiophyceae;.;Hacrobia;Haptista;Haptophyta;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina rotalis"
"141","euk","Cluster_42","Eukaryota","Sar",".","Stramenopiles","Ochrophyta","Chrysophyceae","Chromulinales","Chromulinaceae","Ochromonas","-",7,21,"MS-all-SRF-0-8-5-00_bin-161","Eukaryota;Sar;.;Stramenopiles;Ochrophyta;Chrysophyceae;Chromulinales;Chromulinaceae;Ochromonas;-"
"142","euk","Cluster_50","Eukaryota","Opisthokonta","Metazoa","Metazoa","-","Choanoflagellata","Craspedida","Salpingoecidae","Salpingoeca","Salpingoeca rosetta",2,21,"SPO-SPSG-SRF-0-8-5-00_bin-565","Eukaryota;Opisthokonta;Metazoa;Metazoa;-;Choanoflagellata;Craspedida;Salpingoecidae;Salpingoeca;Salpingoeca rosetta"
"143","euk","Cluster_50","Eukaryota","Opisthokonta","Metazoa","Metazoa","-","Choanoflagellata","Craspedida","Salpingoecidae","Salpingoeca","Salpingoeca rosetta",2,21,"SPO-all-SRF-0-8-5-00_bin-849","Eukaryota;Opisthokonta;Metazoa;-;-;Choanoflagellata;Craspedida;Salpingoecidae;Salpingoeca;Salpingoeca rosetta"
"144","euk","Cluster_50","Eukaryota","Opisthokonta","Metazoa","Metazoa","-","Choanoflagellata","Craspedida","Salpingoecidae","Salpingoeca","Salpingoeca rosetta",2,21,"NPO-all-SRF-0-8-5-00_bin-209","Eukaryota;Opisthokonta;Metazoa;Metazoa;-;Choanoflagellata;Craspedida;Salpingoecidae;Salpingoeca;Salpingoeca rosetta"
"145","euk","Cluster_67","Eukaryota","Sar",".","Stramenopiles","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros neogracilis",2,25,"SPO-CHIL-SRF-0-8-5-00_bin-134","Eukaryota;Sar;.;Stramenopiles;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros neogracilis"
"146","euk","Cluster_67","Eukaryota","Sar",".","Stramenopiles","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros neogracilis",2,25,"SPO-all-SRF-0-8-5-00_bin-825","Eukaryota;Sar;.;Stramenopiles;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros neogracilis"
"147","euk","Cluster_114","Eukaryota","Opisthokonta","Metazoa","Metazoa","Arthropoda","Insecta","-","-",".","-",1,31,"SPO-all-SRF-180-2000-00_bin-146","Eukaryota;Opisthokonta;Metazoa;Metazoa;Arthropoda;Insecta;-;-;.;-"
"148","euk","Cluster_114","Eukaryota","Opisthokonta","Metazoa","Metazoa","Arthropoda","Insecta","-","-",".","-",1,31,"SPO-SPSG-SRF-180-2000-00_bin-96","Eukaryota;Opisthokonta;Metazoa;Metazoa;Arthropoda;Insecta;-;-;.;-"
"149","euk","Cluster_22","Eukaryota","Opisthokonta","Metazoa","Metazoa","Arthropoda","Hexanauplia","Calanoida","Temoridae","Eurytemora","Eurytemora affinis",1,32,"RS-all-SRF-180-2000-00_bin-9","Eukaryota;Opisthokonta;Metazoa;Metazoa;Arthropoda;Hexanauplia;Calanoida;Temoridae;Eurytemora;Eurytemora affinis"
"150","euk","Cluster_22","Eukaryota","Opisthokonta","Metazoa","Metazoa","Arthropoda","Hexanauplia","Calanoida","Temoridae","Eurytemora","Eurytemora affinis",1,32,"IO-all-SRF-180-2000-00_bin-58","Eukaryota;Opisthokonta;Metazoa;Metazoa;Arthropoda;Hexanauplia;Calanoida;Temoridae;Eurytemora;Eurytemora affinis"
"151","euk","Cluster_22","Eukaryota","Opisthokonta","Metazoa","Metazoa","Arthropoda","Hexanauplia","Calanoida","Temoridae","Eurytemora","Eurytemora affinis",1,32,"SPO-all-SRF-180-2000-00_bin-303","Eukaryota;Opisthokonta;Metazoa;Metazoa;Arthropoda;Hexanauplia;Calanoida;Temoridae;Eurytemora;Eurytemora affinis"
"152","euk","Cluster_22","Eukaryota","Opisthokonta","Metazoa","Metazoa","Arthropoda","Hexanauplia","Calanoida","Temoridae","Eurytemora","Eurytemora affinis",1,32,"NPO-all-SRF-180-2000-00_bin-25","Eukaryota;Opisthokonta;Metazoa;Metazoa;Arthropoda;Hexanauplia;Calanoida;Temoridae;Eurytemora;Eurytemora affinis"
"153","euk","Cluster_127","Eukaryota","Sar",".","-","-","Dinophyceae","-","-",".","-",2,29,"SO-all-SRF-0-8-5-00_bin-43","Eukaryota;Sar;.;-;-;Dinophyceae;-;-;.;-"
"154","euk","Cluster_183","Eukaryota","Sar",".","-","-","Dinophyceae","-","-",".","-",7,48,"NAO-all-MIX-0-8-5-00_bin-258","Eukaryota;Sar;.;-;-;Dinophyceae;-;-;.;-"
"155","euk","Cluster_106","Eukaryota",".",".","-","-","Cryptophyceae","Pyrenomonadales","Goniomonadaceae","Goniomonas","-",7,31,"IO-all-SRF-0-8-5-00_bin-446","Eukaryota;.;.;-;-;Cryptophyceae;Pyrenomonadales;Goniomonadaceae;Goniomonas;-"
"156","euk","Cluster_106","Eukaryota",".",".","-","-","Cryptophyceae","Pyrenomonadales","Goniomonadaceae","Goniomonas","-",7,31,"NPO-all-SRF-0-8-5-00_bin-113","Eukaryota;.;.;-;-;Cryptophyceae;Pyrenomonadales;Goniomonadaceae;Goniomonas;-"
"157","euk","Cluster_163","Eukaryota","Sar",".","-","-","Dinophyceae","-","-",".","-",4,33,"SAO-all-DCM-0-8-5-00_bin-465","Eukaryota;Sar;.;-;-;Dinophyceae;-;-;.;-"
"158","euk","Cluster_163","Eukaryota","Sar",".","-","-","Dinophyceae","-","-",".","-",4,33,"SAO-all-SRF-0-8-5-00_bin-141","Eukaryota;Sar;.;-;-;Dinophyceae;-;-;.;-"
"159","euk","Cluster_87","Eukaryota","Opisthokonta","Metazoa","Metazoa","Arthropoda","Insecta","-","-",".","-",1,32,"MS-all-SRF-5-20-00_bin-24","Eukaryota;Opisthokonta;Metazoa;Metazoa;Arthropoda;Insecta;-;-;.;-"
"160","euk","Cluster_131","Eukaryota","Opisthokonta","Metazoa","Metazoa","Arthropoda","Hexanauplia","Calanoida","Temoridae","Eurytemora","Eurytemora affinis",1,38,"IO-all-SRF-20-180-00_bin-121","Eukaryota;Opisthokonta;Metazoa;Metazoa;Arthropoda;Hexanauplia;Calanoida;Temoridae;Eurytemora;Eurytemora affinis"
