"","Source_ID","HeterotrophyScore","Predicted.trophic.mode","Genome","Phagocyte.generalist.prediction","Phagocyte.entamoebid.prediction","Phagocyte.rozellid.prediction","Prototrophy.prediction","Photosynthesis.prediction","Trophic.mode","RF.predicted.TM"
"552","MMETSP1366",-307,"Phototroph","MMETSP1366.sigModels.txt",0.19196881557933,0.0442694740390766,0.764783483285243,0.991075972398768,0.994184109051431,"Phototroph","Phototroph"
"553","MMETSP1367",-0.252702702702703,"Mixotroph","MMETSP1367.sigModels.txt",0.637396802914005,0.782757987985799,0.879352667626289,0.974181539239782,0.970329715767951,"Phototroph","Phototroph"
"554","MMETSP1369",-0.240641711229947,"Mixotroph","MMETSP1369.sigModels.txt",0.749526980880669,0.939685272118286,0.907905244581212,0.976166765359166,0.95877221125403,"Phototroph","Phototroph"
"555","MMETSP1370",-0.201174743024963,"Mixotroph","MMETSP1370.sigModels.txt",0.476969815430388,0.355723140328619,0.811590888547984,0.909934175156757,0.584185304593869,"Phototroph","Phototroph"
"556","MMETSP1371",-0.18299711815562,"Mixotroph","MMETSP1371.sigModels.txt",0.742058879824001,0.442391600376727,0.913545693759741,0.920891542257425,0.869745031252168,"Phototroph","Phototroph"
"557","MMETSP1374",-0.254649499284692,"Mixotroph","MMETSP1374.sigModels.txt",0.300231619222209,0.136632546784186,0.795978484514354,0.903633849569379,0.911461836205881,"Phototroph","Phototroph"
"558","MMETSP1377",-115,"Phototroph","MMETSP1377.sigModels.txt",0.682220150181256,0.687414201550668,0.348753472187115,0.778026003577671,0.571732076235173,"Phototroph","Phototroph"
"559","MMETSP1380",94,"Heterotroph","MMETSP1380.sigModels.txt",0.114290104178486,0.264382371724152,0.436832989354397,0.000216398986185151,0.00084561802804898,"Heterotroph","Heterotroph"
"560","MMETSP1381",-229,"Phototroph","MMETSP1381.sigModels.txt",0.0141874299397826,0.00481186569974399,0.19949080290236,0.389447648147041,0.749691579615723,"Phototroph","Phototroph"
"561","MMETSP1384",122,"Heterotroph","MMETSP1384.sigModels.txt",0.99378300412342,0.978325187507772,0.954831218465573,0.0703664458673248,0.0027801772825769,"Heterotroph","Heterotroph"
"562","MMETSP1385",99,"Heterotroph","MMETSP1385.sigModels.txt",0.980623126650239,0.938041559473975,0.871279006896331,0.0543472931486569,0.00276404791549433,"Mixotroph","Mixotroph"
"563","MMETSP1386",-278,"Phototroph","MMETSP1386.sigModels.txt",0.0124218794616698,0.00417280281560182,0.0855536747477569,0.933426198580726,0.998040342660707,"Phototroph","Phototroph"
