old_mag_name	new_mag_name
IO-all-FSW-0-8-5-00_bin-10	TOPAZ_IOF1_P001
IO-all-FSW-0-8-5-00_bin-100	TOPAZ_IOF1_P002
IO-all-FSW-0-8-5-00_bin-101	TOPAZ_IOF1_P003
IO-all-FSW-0-8-5-00_bin-102	TOPAZ_IOF1_P004
IO-all-FSW-0-8-5-00_bin-106	TOPAZ_IOF1_P005
IO-all-FSW-0-8-5-00_bin-112	TOPAZ_IOF1_P006
IO-all-FSW-0-8-5-00_bin-114	TOPAZ_IOF1_P007
IO-all-FSW-0-8-5-00_bin-117	TOPAZ_IOF1_P008
IO-all-FSW-0-8-5-00_bin-119	TOPAZ_IOF1_P009
IO-all-FSW-0-8-5-00_bin-120	TOPAZ_IOF1_P010
IO-all-FSW-0-8-5-00_bin-121	TOPAZ_IOF1_P011
IO-all-FSW-0-8-5-00_bin-124	TOPAZ_IOF1_P012
IO-all-FSW-0-8-5-00_bin-13	TOPAZ_IOF1_P013
IO-all-FSW-0-8-5-00_bin-16	TOPAZ_IOF1_P014
IO-all-FSW-0-8-5-00_bin-17	TOPAZ_IOF1_P015
IO-all-FSW-0-8-5-00_bin-19	TOPAZ_IOF1_P016
IO-all-FSW-0-8-5-00_bin-27	TOPAZ_IOF1_P017
IO-all-FSW-0-8-5-00_bin-29	TOPAZ_IOF1_P018
IO-all-FSW-0-8-5-00_bin-30	TOPAZ_IOF1_P019
IO-all-FSW-0-8-5-00_bin-35	TOPAZ_IOF1_P020
IO-all-FSW-0-8-5-00_bin-39	TOPAZ_IOF1_P021
IO-all-FSW-0-8-5-00_bin-42	TOPAZ_IOF1_P022
IO-all-FSW-0-8-5-00_bin-43	TOPAZ_IOF1_P023
IO-all-FSW-0-8-5-00_bin-46	TOPAZ_IOF1_P024
IO-all-FSW-0-8-5-00_bin-5	TOPAZ_IOF1_P025
IO-all-FSW-0-8-5-00_bin-50	TOPAZ_IOF1_P026
IO-all-FSW-0-8-5-00_bin-52	TOPAZ_IOF1_P027
IO-all-FSW-0-8-5-00_bin-53	TOPAZ_IOF1_P028
IO-all-FSW-0-8-5-00_bin-54	TOPAZ_IOF1_P029
IO-all-FSW-0-8-5-00_bin-55	TOPAZ_IOF1_P030
IO-all-FSW-0-8-5-00_bin-56	TOPAZ_IOF1_P031
IO-all-FSW-0-8-5-00_bin-58	TOPAZ_IOF1_P032
IO-all-FSW-0-8-5-00_bin-65	TOPAZ_IOF1_P033
IO-all-FSW-0-8-5-00_bin-69	TOPAZ_IOF1_P034
IO-all-FSW-0-8-5-00_bin-76	TOPAZ_IOF1_P035
IO-all-FSW-0-8-5-00_bin-80	TOPAZ_IOF1_P036
IO-all-FSW-0-8-5-00_bin-82	TOPAZ_IOF1_P037
IO-all-FSW-0-8-5-00_bin-86	TOPAZ_IOF1_P038
IO-all-FSW-0-8-5-00_bin-87	TOPAZ_IOF1_P039
IO-all-FSW-0-8-5-00_bin-89	TOPAZ_IOF1_P040
IO-all-FSW-0-8-5-00_bin-90	TOPAZ_IOF1_P041
IO-all-FSW-0-8-5-00_bin-91	TOPAZ_IOF1_P042
IO-all-FSW-0-8-5-00_bin-93	TOPAZ_IOF1_P043
IO-all-FSW-0-8-5-00_bin-96	TOPAZ_IOF1_P044
IO-all-FSW-0-8-5-00_bin-97	TOPAZ_IOF1_P045
IO-all-FSW-0-8-5-00_bin-99	TOPAZ_IOF1_P046
IO-all-MES-0-8-5-00_bin-10	TOPAZ_IOM1_P001
IO-all-MES-0-8-5-00_bin-103	TOPAZ_IOM1_P002
IO-all-MES-0-8-5-00_bin-107	TOPAZ_IOM1_P003
IO-all-MES-0-8-5-00_bin-108	TOPAZ_IOM1_P004
IO-all-MES-0-8-5-00_bin-109	TOPAZ_IOM1_P005
IO-all-MES-0-8-5-00_bin-114	TOPAZ_IOM1_P006
IO-all-MES-0-8-5-00_bin-115	TOPAZ_IOM1_P007
IO-all-MES-0-8-5-00_bin-116	TOPAZ_IOM1_P008
IO-all-MES-0-8-5-00_bin-118	TOPAZ_IOM1_P009
IO-all-MES-0-8-5-00_bin-119	TOPAZ_IOM1_P010
IO-all-MES-0-8-5-00_bin-122	TOPAZ_IOM1_P011
IO-all-MES-0-8-5-00_bin-129	TOPAZ_IOM1_P012
IO-all-MES-0-8-5-00_bin-130	TOPAZ_IOM1_P013
IO-all-MES-0-8-5-00_bin-132	TOPAZ_IOM1_P014
IO-all-MES-0-8-5-00_bin-134	TOPAZ_IOM1_P015
IO-all-MES-0-8-5-00_bin-135	TOPAZ_IOM1_P016
IO-all-MES-0-8-5-00_bin-136	TOPAZ_IOM1_P017
IO-all-MES-0-8-5-00_bin-140	TOPAZ_IOM1_P018
IO-all-MES-0-8-5-00_bin-142	TOPAZ_IOM1_P019
IO-all-MES-0-8-5-00_bin-148	TOPAZ_IOM1_P020
IO-all-MES-0-8-5-00_bin-15	TOPAZ_IOM1_P021
IO-all-MES-0-8-5-00_bin-157	TOPAZ_IOM1_P022
IO-all-MES-0-8-5-00_bin-162	TOPAZ_IOM1_P023
IO-all-MES-0-8-5-00_bin-163	TOPAZ_IOM1_P024
IO-all-MES-0-8-5-00_bin-167	TOPAZ_IOM1_P025
IO-all-MES-0-8-5-00_bin-168	TOPAZ_IOM1_P026
IO-all-MES-0-8-5-00_bin-171	TOPAZ_IOM1_P027
IO-all-MES-0-8-5-00_bin-175	TOPAZ_IOM1_P028
IO-all-MES-0-8-5-00_bin-176	TOPAZ_IOM1_P029
IO-all-MES-0-8-5-00_bin-177	TOPAZ_IOM1_P030
