ls 0
IO-all-DCM-0-8-5-00_bin-104.faa 18210
IO-all-DCM-0-8-5-00_bin-107.faa 1749
IO-all-DCM-0-8-5-00_bin-111.faa 19545
IO-all-DCM-0-8-5-00_bin-120.faa 9083
IO-all-DCM-0-8-5-00_bin-12.faa 19350
IO-all-DCM-0-8-5-00_bin-130.faa 3137
IO-all-DCM-0-8-5-00_bin-147.faa 3755
IO-all-DCM-0-8-5-00_bin-157.faa 12527
IO-all-DCM-0-8-5-00_bin-17.faa 6460
IO-all-DCM-0-8-5-00_bin-21.faa 9379
IO-all-DCM-0-8-5-00_bin-230.faa 18623
IO-all-DCM-0-8-5-00_bin-306.faa 6484
IO-all-DCM-0-8-5-00_bin-320.faa 4645
IO-all-DCM-0-8-5-00_bin-323.faa 8568
IO-all-DCM-0-8-5-00_bin-325.faa 4919
IO-all-DCM-0-8-5-00_bin-344.faa 11961
IO-all-DCM-0-8-5-00_bin-351.faa 8543
IO-all-DCM-0-8-5-00_bin-353.faa 7249
IO-all-DCM-0-8-5-00_bin-36.faa 3184
IO-all-DCM-180-2000-00_bin-20.faa 9428
IO-all-DCM-180-2000-00_bin-25.faa 1638
IO-all-DCM-20-180-00_bin-103.faa 21290
IO-all-DCM-20-180-00_bin-105.faa 2715
IO-all-DCM-20-180-00_bin-109.faa 4558
IO-all-DCM-20-180-00_bin-117.faa 7820
IO-all-DCM-20-180-00_bin-38.faa 10191
IO-all-DCM-20-180-00_bin-48.faa 1375
IO-all-DCM-20-180-00_bin-49.faa 5813
IO-all-DCM-20-180-00_bin-54.faa 14993
IO-all-DCM-20-180-00_bin-57.faa 3486
IO-all-DCM-20-180-00_bin-62.faa 3622
IO-all-DCM-20-180-00_bin-66.faa 10656
IO-all-DCM-20-180-00_bin-74.faa 3838
IO-all-DCM-20-180-00_bin-84.faa 8805
IO-all-DCM-20-180-00_bin-97.faa 3510
IO-all-DCM-5-20-00_bin-11.faa 1322
IO-all-DCM-5-20-00_bin-2.faa 405
IO-all-FSW-0-8-5-00_bin-66.faa 6081
IO-all-FSW-0-8-5-00_bin-83.faa 6003
IO-all-FSW-0-8-5-00_bin-88.faa 8430
IO-all-MES-0-8-5-00_bin-188.faa 5222
IO-all-MES-0-8-5-00_bin-223.faa 401
IO-all-MES-0-8-5-00_bin-262.faa 2630
IO-all-MES-0-8-5-00_bin-59.faa 6129
IO-all-SRF-0-8-5-00_bin-100.faa 5406
IO-all-SRF-0-8-5-00_bin-105.faa 7914
