Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# Ns per 100 kbp	
NAO_all_SRF_0.8_5.00	3407827	3407827	155485	38663	8173	2959	7295143867	7295143867	1703543974	928667377	491509896	313822210	3407827	1018021	7295143867	54.12	2212	1398	785193	1845566	0.00
NAO_all_SRF_180_2000.00	1303185	1303185	17588	3986	756	126	2106368901	2106368901	166059018	77996911	29603366	8274430	1303185	140557	2106368901	41.14	1526	1194	424365	818565	0.00
NAO_all_SRF_20_180.00	1822750	1822750	20212	3022	186	8	2885894539	2885894539	156397736	45242697	6167002	540707	1822750	97954	2885894539	40.19	1513	1195	618388	1159665	0.00
NAO_all_SRF_5_20.00	674671	674671	7176	1191	182	59	1073217780	1073217780	64416476	25973422	11479576	7439384	674671	514534	1073217780	46.56	1513	1191	225766	427539	0.00
NPO_all_DCM_0.8_5.00	1604067	1604067	64934	17672	3815	1247	3272549906	3272549906	717945920	402636338	202444267	115891182	1604067	596123	3272549906	52.03	2034	1340	383006	889490	0.00
NPO_all_DCM_180_2000.00	311708	311708	2977	155	18	11	488877209	488877209	20273624	2962815	1201602	953948	311708	166825	488877209	43.05	1503	1186	106489	198876	0.00
NPO_all_DCM_20_180.00	1512999	1512999	14248	1408	65	10	2377809101	2377809101	101618228	19973767	2499905	725454	1512999	118448	2377809101	40.16	1509	1194	519490	966216	0.00
NPO_all_DCM_5_20.00	271654	271654	5972	1136	71	9	456276603	456276603	49683504	17709339	2932459	917400	271654	207791	456276603	51.02	1584	1202	83053	166897	0.00
NPO_all_MES_0.8_5.00	699559	699559	53028	18663	4798	1636	1839466103	1839466103	704181328	471295944	266527236	158918404	699559	580271	1839466103	54.35	3153	1575	108284	324463	0.00
NPO_all_SRF_0.8_5.00	2611195	2611195	105096	25436	5360	1826	5365634653	5365634653	1114398774	587428548	299356306	179252572	2611195	827585	5365634653	51.38	2085	1362	636281	1448478	0.00
NPO_all_SRF_180_2000.00	989281	989281	16189	1981	104	14	1633968566	1633968566	121201981	29588242	4082643	1242970	989281	275309	1633968566	39.64	1586	1214	318681	616313	0.00
NPO_all_SRF_20_180.00	1545596	1545596	26255	2946	102	3	2615441104	2615441104	190523608	40476642	3197980	164132	1545596	58423	2615441104	40.75	1651	1243	493923	955404	0.00
NPO_all_SRF_5_20.00	620964	620964	14399	2455	332	83	1090167164	1090167164	124466082	46634085	17268442	9027237	620964	696265	1090167164	45.12	1696	1244	184369	374697	0.00
RS_all_DCM_0.8_5.00	219634	219634	9510	2658	479	132	447545908	447545908	101294936	55307454	24050529	12284590	219634	352009	447545908	55.11	2031	1330	51841	121513	0.00
RS_all_DCM_180_2000.00	112577	112577	1609	77	0	0	180702790	180702790	10294169	985916	0	0	112577	23036	180702790	39.99	1528	1194	37179	71002	0.00
RS_all_DCM_20_180.00	315247	315247	5701	600	11	1	529827576	529827576	40967483	7837535	393616	85090	315247	85090	529827576	37.39	1627	1231	100420	195093	0.00
RS_all_DCM_5_20.00	167619	167619	170	8	0	0	220981361	220981361	1069597	89370	0	0	167619	14451	220981361	30.26	1261	1105	67947	114943	0.00
RS_all_SRF_0.8_5.00	359126	359126	19447	5108	913	287	782249234	782249234	204014841	107683942	48084889	26971551	359126	528728	782249234	52.68	2285	1394	78354	191018	0.00
RS_all_SRF_180_2000.00	389232	389232	3824	200	5	0	620236079	620236079	25288752	2645554	144631	0	389232	31055	620236079	38.73	1542	1206	132620	247309	0.00
RS_all_SRF_20_180.00	847784	847784	8548	584	22	2	1390703803	1390703803	57899488	7985108	770072	119111	847784	62218	1390703803	39.66	1609	1237	284895	533492	0.00
SAO_all_DCM_0.8_5.00	4674436	4674436	250034	57411	6771	1221	9964060386	9964060386	2284704979	998930699	284277293	102181752	4674436	558869	9964060386	55.26	2247	1403	1107106	2542775	0.00
SAO_all_DCM_180_2000.00	402992	402992	5753	440	7	1	660727783	660727783	39599975	5904554	242475	50182	402992	50182	660727783	44.35	1583	1213	131502	252090	0.00
SAO_all_DCM_20_180.00	717648	717648	7541	753	34	1	1146796939	1146796939	54161811	10935489	1122914	62173	717648	62173	1146796939	40.06	1540	1205	242735	455104	0.00
SAO_all_DCM_5_20.00	144482	144482	1559	294	53	3	224836998	224836998	13570718	5399361	1921318	214306	144482	75700	224836998	50.23	1463	1170	48849	92228	0.00
SAO_all_MES_0.8_5.00	636289	636289	37860	11512	2188	570	1397404063	1397404063	412613641	234105451	98911753	44395456	636289	333140	1397404063	45.85	2318	1356	126362	331739	0.00
SAO_all_SRF_0.8_5.00	3147739	3147739	131571	28035	4285	1173	6417888833	6417888833	1231284123	547639266	213580593	110014121	3147739	672762	6417888833	54.34	2092	1373	797950	1762672	0.00
SAO_all_SRF_180_2000.00	1159060	1159060	25910	4486	226	34	1983689150	1983689150	208998916	67893772	8991565	3003903	1159060	476483	1983689150	38.59	1636	1228	354059	708499	0.00
SAO_all_SRF_20_180.00	1224087	1224087	17668	2304	246	53	2009775166	2009775166	137471559	38527522	10263627	3885894	1224087	164238	2009775166	42.12	1576	1214	398197	765329	0.00
SAO_all_SRF_5_20.00	320806	320806	13625	3260	221	137	644085106	644085106	144579637	74454386	33507889	30848021	320806	1135662	644085106	44.93	1988	1309	76086	178407	0.00
SO_all_DCM_0.8_5.00	514372	514372	17886	3035	357	55	1015621356	1015621356	147930997	51044438	13613081	3675097	514372	111343	1015621356	52.47	2027	1382	142823	296552	0.00
SO_all_DCM_180_2000.00	197790	197790	3028	492	134	16	329130800	329130800	26347856	10312456	5159416	1199129	197790	171065	329130800	47.41	1595	1215	62844	122669	0.00
SO_all_DCM_20_180.00	108295	108295	2270	320	28	2	192294640	192294640	17673990	5076191	919947	109961	108295	56466	192294640	47.36	1758	1278	32997	65488	0.00
SO_all_DCM_5_20.00	8892	8892	1228	162	5	0	25090559	25090559	9431312	2229861	143687	0	8892	35774	25090559	37.27	3855	1931	1938	4249	0.00
SO_all_MES_0.8_5.00	12138	12138	250	62	4	0	21343351	21343351	2191826	909861	135904	0	12138	39512	21343351	41.16	1678	1269	3689	7391	0.00
SO_all_SRF_0.8_5.00	922999	922999	34036	6344	797	106	1809943952	1809943952	289610282	108186655	30200090	7338817	922999	139073	1809943952	53.94	1992	1351	249470	529820	0.00
SO_all_SRF_180_2000.00	329144	329144	6026	999	121	21	560947567	560947567	49618324	17193970	4739193	1445875	329144	97495	560947567	44.72	1648	1235	102516	202059	0.00
SO_all_SRF_20_180.00	309574	309574	4257	837	154	36	513028051	513028051	38324452	16238292	6339838	2407419	309574	100246	513028051	44.13	1595	1221	100018	192872	0.00
SO_all_SRF_5_20.00	227883	227883	14234	1299	60	16	503510354	503510354	102503759	18288715	2694325	1256193	227883	195575	503510354	40.22	2491	1510	57899	123913	0.00
SPO_all_DCM_0.8_5.00	2165492	2165492	84722	22074	4409	1402	4407251549	4407251549	924230732	508106644	253747502	152118809	2165492	1091547	4407251549	52.04	2042	1346	526694	1205090	0.00
SPO_all_DCM_180_2000.00	757959	757959	7523	426	18	3	1176646817	1176646817	50212074	6020317	776929	190298	757959	84044	1176646817	40.12	1476	1177	260122	485407	0.00
