"","Source_ID","Predicted.trophic.mode","Score"
"97","IO-all-DCM-20-180-00_bin-74","Heterotroph",252
"98","IO-all-DCM-20-180-00_bin-74","Mixotroph",125
"99","IO-all-DCM-20-180-00_bin-74","Phototroph",210
"100","IO-all-DCM-20-180-00_bin-84","Heterotroph",436
"101","IO-all-DCM-20-180-00_bin-84","Mixotroph",659
"102","IO-all-DCM-20-180-00_bin-84","Phototroph",712
"103","IO-all-DCM-20-180-00_bin-97","Heterotroph",255
"104","IO-all-DCM-20-180-00_bin-97","Mixotroph",149
"105","IO-all-DCM-20-180-00_bin-97","Phototroph",231
"106","IO-all-DCM-5-20-00_bin-11","Heterotroph",153
"107","IO-all-DCM-5-20-00_bin-11","Mixotroph",66
"108","IO-all-DCM-5-20-00_bin-11","Phototroph",165
"109","IO-all-DCM-5-20-00_bin-2","Heterotroph",148
"110","IO-all-DCM-5-20-00_bin-2","Mixotroph",64
"111","IO-all-DCM-5-20-00_bin-2","Phototroph",169
"112","IO-all-FSW-0-8-5-00_bin-66","Heterotroph",314
"113","IO-all-FSW-0-8-5-00_bin-66","Mixotroph",222
"114","IO-all-FSW-0-8-5-00_bin-66","Phototroph",272
"115","IO-all-FSW-0-8-5-00_bin-83","Heterotroph",374
"116","IO-all-FSW-0-8-5-00_bin-83","Mixotroph",493
"117","IO-all-FSW-0-8-5-00_bin-83","Phototroph",554
"118","IO-all-FSW-0-8-5-00_bin-88","Heterotroph",440
"119","IO-all-FSW-0-8-5-00_bin-88","Mixotroph",646
"120","IO-all-FSW-0-8-5-00_bin-88","Phototroph",708
"121","IO-all-MES-0-8-5-00_bin-188","Heterotroph",326
"122","IO-all-MES-0-8-5-00_bin-188","Mixotroph",208
"123","IO-all-MES-0-8-5-00_bin-188","Phototroph",279
"124","IO-all-MES-0-8-5-00_bin-223","Heterotroph",145
"125","IO-all-MES-0-8-5-00_bin-223","Mixotroph",61
"126","IO-all-MES-0-8-5-00_bin-223","Phototroph",166
"127","IO-all-MES-0-8-5-00_bin-262","Heterotroph",270
"128","IO-all-MES-0-8-5-00_bin-262","Mixotroph",158
"129","IO-all-MES-0-8-5-00_bin-262","Phototroph",264
"130","IO-all-MES-0-8-5-00_bin-59","Heterotroph",533
"131","IO-all-MES-0-8-5-00_bin-59","Mixotroph",367
"132","IO-all-MES-0-8-5-00_bin-59","Phototroph",469
"133","IO-all-SRF-0-8-5-00_bin-100","Heterotroph",193
"134","IO-all-SRF-0-8-5-00_bin-100","Mixotroph",163
"135","IO-all-SRF-0-8-5-00_bin-100","Phototroph",243
"136","IO-all-SRF-0-8-5-00_bin-105","Heterotroph",361
"137","IO-all-SRF-0-8-5-00_bin-105","Mixotroph",434
"138","IO-all-SRF-0-8-5-00_bin-105","Phototroph",458
"139","IO-all-SRF-0-8-5-00_bin-109","Heterotroph",277
"140","IO-all-SRF-0-8-5-00_bin-109","Mixotroph",261
"141","IO-all-SRF-0-8-5-00_bin-109","Phototroph",330
"142","IO-all-SRF-0-8-5-00_bin-113","Heterotroph",282
"143","IO-all-SRF-0-8-5-00_bin-113","Mixotroph",224
"144","IO-all-SRF-0-8-5-00_bin-113","Phototroph",260
"145","IO-all-SRF-0-8-5-00_bin-126","Heterotroph",367
"146","IO-all-SRF-0-8-5-00_bin-126","Mixotroph",516
"147","IO-all-SRF-0-8-5-00_bin-126","Phototroph",548
"148","IO-all-SRF-0-8-5-00_bin-141","Heterotroph",480
"149","IO-all-SRF-0-8-5-00_bin-141","Mixotroph",435
"150","IO-all-SRF-0-8-5-00_bin-141","Phototroph",418
"151","IO-all-SRF-0-8-5-00_bin-166","Heterotroph",198
"152","IO-all-SRF-0-8-5-00_bin-166","Mixotroph",123
"153","IO-all-SRF-0-8-5-00_bin-166","Phototroph",217
"154","IO-all-SRF-0-8-5-00_bin-174","Heterotroph",396
"155","IO-all-SRF-0-8-5-00_bin-174","Mixotroph",498
"156","IO-all-SRF-0-8-5-00_bin-174","Phototroph",540
"157","IO-all-SRF-0-8-5-00_bin-183","Heterotroph",297
"158","IO-all-SRF-0-8-5-00_bin-183","Mixotroph",230
"159","IO-all-SRF-0-8-5-00_bin-183","Phototroph",276
"160","IO-all-SRF-0-8-5-00_bin-21","Heterotroph",402
"161","IO-all-SRF-0-8-5-00_bin-21","Mixotroph",496
"162","IO-all-SRF-0-8-5-00_bin-21","Phototroph",551
"163","IO-all-SRF-0-8-5-00_bin-210","Heterotroph",200
"164","IO-all-SRF-0-8-5-00_bin-210","Mixotroph",123
"165","IO-all-SRF-0-8-5-00_bin-210","Phototroph",207
"166","IO-all-SRF-0-8-5-00_bin-22","Heterotroph",367
"167","IO-all-SRF-0-8-5-00_bin-22","Mixotroph",511
"168","IO-all-SRF-0-8-5-00_bin-22","Phototroph",691
"169","IO-all-SRF-0-8-5-00_bin-223","Heterotroph",507
"170","IO-all-SRF-0-8-5-00_bin-223","Mixotroph",481
"171","IO-all-SRF-0-8-5-00_bin-223","Phototroph",426
"172","IO-all-SRF-0-8-5-00_bin-243","Heterotroph",306
"173","IO-all-SRF-0-8-5-00_bin-243","Mixotroph",238
