mag,taxonomy
NAO-all-SRF-0-8-5-00_bin-339,Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Cryptomonadales;-;-;-
SAO-all-DCM-180-2000-00_bin-24,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SPO-all-SRF-0-8-5-00_bin-394,Eukaryota;-;-;-;-;-;-;-
RS-all-DCM-20-180-00_bin-3,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
SPO-all-SRF-0-8-5-00_bin-102,Eukaryota;Archaeplastida;Chlorophyta;Chloropicophyceae;Chloropicales;-;-;-
MS-all-DCM-0-8-5-00_bin-224,Eukaryota;-;-;-;-;-;-;-
IO-all-MES-0-8-5-00_bin-59,Eukaryota;Opisthokonta;Fungi;Ascomycota;Saccharomycotina;-;-;-
SAO-all-DCM-0-8-5-00_bin-433,Eukaryota;Stramenopiles;Ochrophyta;Pelagophyceae;Pelagomonadales;Pelagomonadaceae;-;-
RS-all-SRF-20-180-00_bin-19,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
MS-all-DCM-0-8-5-00_bin-257,Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;-;-;-;-
IO-all-DCM-0-8-5-00_bin-323,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-
SAO-all-SRF-0-8-5-00_bin-575,Eukaryota;Archaeplastida;Chlorophyta;Palmophyllophyceae;Prasinococcales;Prasinococcales-Clade-B;Prasinoderma;Prasinoderma singularis
IO-all-DCM-0-8-5-00_bin-325,Eukaryota;-;-;-;-;-;-;-
NPO-all-SRF-20-180-00_bin-43,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
SPO-all-DCM-0-8-5-00_bin-566,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-
MS-all-SRF-180-2000-00_bin-27,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SPO-SPSG-DCM-5-20-00_bin-33,Eukaryota;Archaeplastida;Chlorophyta;Chloropicophyceae;-;-;-;-
SPO-all-SRF-0-8-5-00_bin-807,Bacteria;Proteobacteria;-;-;-;-;-;-
SPO-SPSG-SRF-20-180-00_bin-178,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
IO-all-SRF-0-8-5-00_bin-141,Eukaryota;-;-;-;-;-;-;-
IO-all-FSW-0-8-5-00_bin-66,Eukaryota;-;-;-;-;-;-;-
NAO-all-MIX-0-8-5-00_bin-111,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
NPO-all-SRF-0-8-5-00_bin-575,Eukaryota;-;-;-;-;-;-;-
SPO-SPSG-SRF-20-180-00_bin-94,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
SPO-CHIL-DCM-20-180-00_bin-3,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
SPO-all-SRF-0-8-5-00_bin-975,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-
MS-all-SRF-0-8-5-00_bin-588,Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;-;-;-;-
NAO-all-SRF-0-8-5-00_bin-380,Eukaryota;-;-;-;-;-;-;-
NAO-all-SRF-0-8-5-00_bin-366,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;-;-
SAO-all-DCM-0-8-5-00_bin-37,Eukaryota;Stramenopiles;Ochrophyta;Pelagophyceae;Pelagomonadales;Pelagomonadaceae;Aureococcus;Aureococcus anophagefferens
MS-all-SRF-0-8-5-00_bin-661,Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;-;-;-;-
SPO-all-SRF-20-180-00_bin-51,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
IO-all-SRF-180-2000-00_bin-56,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
IO-all-SRF-180-2000-00_bin-62,Eukaryota;Metazoa;-;-;-;-;-;-
SPO-all-SRF-0-8-5-00_bin-318,Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;-;-;-;-
RS-all-SRF-0-8-5-00_bin-50,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus;Bathycoccus prasinos
NPO-all-SRF-20-180-00_bin-48,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SAO-all-SRF-5-20-00_bin-32,Eukaryota;Metazoa;-;-;-;-;-;-
SPO-SPSG-SRF-5-20-00_bin-3,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
IO-all-MES-0-8-5-00_bin-223,Eukaryota;-;-;-;-;-;-;-
NPO-all-SRF-0-8-5-00_bin-407,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-
SPO-all-SRF-180-2000-00_bin-31,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SPO-all-SRF-180-2000-00_bin-49,Eukaryota;Metazoa;Arthropoda;Branchiopoda;Diplostraca;-;-;-
SAO-all-SRF-0-8-5-00_bin-212,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;-;-
IO-all-SRF-5-20-00_bin-71,Eukaryota;Metazoa;-;-;-;-;-;-
SPO-all-SRF-0-8-5-00_bin-906,Eukaryota;Archaeplastida;Chlorophyta;Chloropicophyceae;-;-;-;-
NAO-all-SRF-0-8-5-00_bin-273,Eukaryota;-;-;-;-;-;-;-
MS-all-DCM-5-20-00_bin-7,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
IO-all-DCM-20-180-00_bin-38,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SPO-all-SRF-20-180-00_bin-132,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
RS-all-SRF-20-180-00_bin-20,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
MS-all-SRF-0-8-5-00_bin-172,Eukaryota;Archaeplastida;Chlorophyta;Prasino-Clade-V;-;-;-;-
NAO-all-MIX-0-8-5-00_bin-174,Eukaryota;-;-;-;-;-;-;-
IO-all-SRF-0-8-5-00_bin-291,Eukaryota;-;-;-;-;-;-;-
SPO-all-SRF-0-8-5-00_bin-499,Eukaryota;-;-;-;-;-;-;-
SAO-all-SRF-20-180-00_bin-21,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
NPO-all-SRF-0-8-5-00_bin-105,Eukaryota;Archaeplastida;Chlorophyta;Palmophyllophyceae;Prasinococcales;Prasinococcales-Clade-B;Prasinoderma;Prasinoderma singularis
SPO-all-SRF-0-8-5-00_bin-496,Eukaryota;-;-;-;-;-;-;-
SAO-all-DCM-0-8-5-00_bin-245,Eukaryota;Stramenopiles;Ochrophyta;Pelagophyceae;Pelagomonadales;Pelagomonadaceae;-;-
NAO-all-DCM-20-180-00_bin-23,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
SAO-all-DCM-0-8-5-00_bin-540,Eukaryota;Archaeplastida;Chlorophyta;Prasino-Clade-V;Pseudoscourfieldiales;Pycnococcaceae;Pycnococcus;Pycnococcus provasolii
SPO-all-SRF-0-8-5-00_bin-922,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;-;-;-;-
SPO-all-DCM-0-8-5-00_bin-332,Eukaryota;Archaeplastida;Chlorophyta;Chloropicophyceae;Chloropicales;-;-;-
NPO-all-DCM-0-8-5-00_bin-249,Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;-;-;-
NAO-all-MIX-0-8-5-00_bin-258,Eukaryota;-;-;-;-;-;-;-
NPO-all-SRF-180-2000-00_bin-24,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SPO-SPSG-SRF-0-8-5-00_bin-151,Eukaryota;Archaeplastida;Chlorophyta;Chloropicophyceae;-;-;-;-
SPO-all-DCM-0-8-5-00_bin-501,Eukaryota;-;-;-;-;-;-;-
MS-all-SRF-0-8-5-00_bin-298,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-
IO-all-SRF-20-180-00_bin-66,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
NPO-all-SRF-20-180-00_bin-8,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SAO-all-SRF-0-8-5-00_bin-171,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus;Bathycoccus prasinos
NAO-all-DCM-20-180-00_bin-17,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SPO-SPSG-SRF-0-8-5-00_bin-578,Eukaryota;-;-;-;-;-;-;-
RS-all-SRF-20-180-00_bin-21,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
MS-all-SRF-20-180-00_bin-6,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SPO-PEOD-SRF-5-20-00_bin-37,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-
MS-all-SRF-180-2000-00_bin-53,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SPO-PEOD-MES-0-8-5-00_bin-1,Eukaryota;-;-;-;-;-;-;-
IO-all-SRF-20-180-00_bin-92,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SPO-SPSG-SRF-0-8-5-00_bin-40,Eukaryota;-;-;-;-;-;-;-
IO-all-SRF-180-2000-00_bin-44,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-
SPO-SPSG-SRF-20-180-00_bin-164,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SPO-all-SRF-180-2000-00_bin-141,Eukaryota;Metazoa;Chordata;Actinopteri;-;-;-;-
NAO-all-SRF-5-20-00_bin-31,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
