"","eukprok","mag","Domain","Clade","Kingdom","Supergroup","Phylum","Class","Order","Family","Genus","Species","community","degree","MAG","classification"
"166","prok","NAO-all-SRF-0-8-5-00_bin-236","d__Bacteria","NA","NA","NA","p__Cyanobacteria","c__Cyanobacteriia","o__Synechococcales","f__Cyanobiaceae","g__Synechococcus_C","s__Synechococcus_C sp002701375",7,1,NA,NA
"167","prok","MS-all-SRF-180-2000-00_bin-7","d__Bacteria","NA","NA","NA","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__Rickettsiaceae","g__GCA-2402195","s__",1,6,NA,NA
"168","prok","SPO-all-SRF-0-8-5-00_bin-18","d__Bacteria","NA","NA","NA","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__Flavobacteriaceae","g__UBA3537","s__",2,7,NA,NA
"169","prok","SPO-SPSG-MIX-0-8-5-00_bin-154","d__Bacteria","NA","NA","NA","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales_A","f__GCA-2722175","g__GCA-2722175","s__GCA-2722175 sp002722175",7,2,NA,NA
"170","prok","SPO-PEOD-SRF-0-8-5-00_bin-100","d__Bacteria","NA","NA","NA","p__Planctomycetota","c__Phycisphaerae","o__Phycisphaerales","f__SM1A02","g__UBA12014","s__UBA12014 sp002684855",3,1,NA,NA
"171","prok","SPO-all-SRF-20-180-00_bin-155","d__Bacteria","NA","NA","NA","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Halieaceae","g__","s__",3,1,NA,NA
"172","prok","SPO-SPSG-SRF-0-8-5-00_bin-495","d__Bacteria","NA","NA","NA","p__Planctomycetota","c__Phycisphaerae","o__Phycisphaerales","f__SM1A02","g__GCA-002862325","s__",3,2,NA,NA
"173","prok","MS-all-DCM-0-8-5-00_bin-450","d__Bacteria","NA","NA","NA","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Opitutales","f__Opitutaceae","g__","s__",1,1,NA,NA
"174","prok","SPO-SPSG-DCM-0-8-5-00_bin-300","d__Bacteria","NA","NA","NA","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Roseibacillus","s__Roseibacillus sp002380675",3,4,NA,NA
"175","prok","NAO-all-MIX-0-8-5-00_bin-190","d__Bacteria","NA","NA","NA","p__Planctomycetota","c__Phycisphaerae","o__Phycisphaerales","f__SM1A02","g__","s__",4,1,NA,NA
"176","prok","NAO-all-MIX-0-8-5-00_bin-149","d__Bacteria","NA","NA","NA","p__Actinobacteriota","c__Acidimicrobiia","o__Microtrichales","f__MedAcidi-G1","g__MedAcidi-G1","s__MedAcidi-G1 sp000817085",7,2,NA,NA
"177","prok","SPO-PEOD-DCM-0-8-5-00_bin-81","d__Bacteria","NA","NA","NA","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Verrucomicrobiales","f__DEV007","g__EC70","s__EC70 sp002684575",7,3,NA,NA
"178","prok","SPO-all-SRF-0-8-5-00_bin-385","d__Bacteria","NA","NA","NA","p__Planctomycetota","c__Phycisphaerae","o__Phycisphaerales","f__SM1A02","g__","s__",3,1,NA,NA
"179","prok","IO-all-SRF-0-8-5-00_bin-172","d__Bacteria","NA","NA","NA","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Roseibacillus","s__Roseibacillus sp002686085",3,1,NA,NA
"180","prok","NAO-all-MES-0-8-5-00_bin-257","d__Bacteria","NA","NA","NA","p__Spirochaetota","c__Spirochaetia","o__Spirochaetales","f__RBG-16-67-19","g__Bin103","s__",7,3,NA,NA
"181","prok","MS-all-DCM-0-8-5-00_bin-116","d__Bacteria","NA","NA","NA","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__HTCC2089","g__UBA7455","s__UBA7455 sp002690865",7,1,NA,NA
"182","prok","NPO-all-SRF-0-8-5-00_bin-431","d__Bacteria","NA","NA","NA","p__Planctomycetota","c__UBA1135","o__UBA2386","f__UBA2386","g__GCA-2684655","s__",3,1,NA,NA
"183","prok","SPO-SPSG-SRF-5-20-00_bin-65","d__Bacteria","NA","NA","NA","p__Planctomycetota","c__Planctomycetes","o__Pirellulales","f__UBA1268","g__UBA1268","s__UBA1268 sp003509235",3,1,NA,NA
"184","prok","SPO-SPSG-SRF-0-8-5-00_bin-278","d__Bacteria","NA","NA","NA","p__Planctomycetota","c__Phycisphaerae","o__Phycisphaerales","f__SM1A02","g__UBA8087","s__UBA8087 sp002709755",3,2,NA,NA
"185","prok","NPO-all-SRF-5-20-00_bin-40","d__Bacteria","NA","NA","NA","p__Actinobacteriota","c__Actinobacteria","o__Nanopelagicales","f__GCA-2699445","g__GCA-2699445","s__",3,1,NA,NA
"186","prok","SPO-SPSG-DCM-0-8-5-00_bin-319","d__Bacteria","NA","NA","NA","p__Actinobacteriota","c__Actinobacteria","o__Mycobacteriales","f__Mycobacteriaceae","g__Mycolicibacterium","s__",7,1,NA,NA
"187","prok","SPO-CHIL-SRF-0-8-5-00_bin-50","d__Bacteria","NA","NA","NA","p__Planctomycetota","c__Phycisphaerae","o__Phycisphaerales","f__SM1A02","g__UBA1668","s__UBA1668 sp002364555",7,1,NA,NA
"188","prok","SPO-PEOD-DCM-0-8-5-00_bin-109","d__Bacteria","NA","NA","NA","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__UBA1096","g__UBA1096","s__UBA1096 sp002684915",3,1,NA,NA
"189","prok","MS-all-DCM-0-8-5-00_bin-302","d__Bacteria","NA","NA","NA","p__Actinobacteriota","c__Acidimicrobiia","o__Microtrichales","f__TK06","g__MedAcidi-G3","s__MedAcidi-G3 sp000817105",7,1,NA,NA
"190","prok","IO-all-DCM-0-8-5-00_bin-15","d__Bacteria","NA","NA","NA","p__Marinisomatota","c__Marinisomatia","o__Marinisomatales","f__TCS55","g__TMED108","s__TMED108 sp002702225",7,1,NA,NA
"191","prok","MS-all-DCM-0-8-5-00_bin-428","d__Bacteria","NA","NA","NA","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__HIMB11","s__",7,3,NA,NA
"192","prok","NAO-all-SRF-0-8-5-00_bin-393","d__Bacteria","NA","NA","NA","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingobium","s__Sphingobium xenophagum",7,1,NA,NA
"193","prok","SPO-SPSG-SRF-0-8-5-00_bin-487","d__Bacteria","NA","NA","NA","p__Chloroflexota","c__Dehalococcoidia","o__UBA1151","f__TMED-70","g__TMED-70","s__TMED-70 sp002703265",7,1,NA,NA
"194","prok","SAO-all-SRF-180-2000-00_bin-64","d__Bacteria","NA","NA","NA","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__","g__","s__",1,1,NA,NA
"195","prok","SAO-all-DCM-0-8-5-00_bin-313","d__Bacteria","NA","NA","NA","p__Proteobacteria","c__Gammaproteobacteria","o__SAR86","f__D2472","g__","s__",7,2,NA,NA
"196","prok","SPO-all-SRF-0-8-5-00_bin-958","d__Bacteria","NA","NA","NA","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__UBA7377","s__",7,1,NA,NA
"197","prok","SPO-all-SRF-0-8-5-00_bin-514","d__Bacteria","NA","NA","NA","p__Planctomycetota","c__Phycisphaerae","o__Phycisphaerales","f__SM1A02","g__","s__",3,1,NA,NA
"198","prok","IO-all-DCM-0-8-5-00_bin-218","d__Bacteria","NA","NA","NA","p__Proteobacteria","c__Alphaproteobacteria","o__Puniceispirillales","f__Puniceispirillaceae","g__UBA8309","s__UBA8309 sp001627655",7,1,NA,NA
"199","prok","SPO-SPSG-SRF-0-8-5-00_bin-324","d__Bacteria","NA","NA","NA","p__Bdellovibrionota","c__Bacteriovoracia","o__Bacteriovoracales","f__Bacteriovoracaceae","g__UBA7317","s__UBA7317 sp002474345",7,1,NA,NA
"200","prok","IO-all-SRF-0-8-5-00_bin-383","d__Bacteria","NA","NA","NA","p__Proteobacteria","c__Alphaproteobacteria","o__Puniceispirillales","f__Puniceispirillaceae","g__UBA8309","s__UBA8309 sp002695585",7,1,NA,NA
"201","prok","SAO-all-DCM-0-8-5-00_bin-464","d__Bacteria","NA","NA","NA","p__Planctomycetota","c__Planctomycetes","o__Pirellulales","f__Pirellulaceae","g__Mariniblastus","s__",3,1,NA,NA
